RequestId,Company Name,Security Name,Asset Class,Inception Date,Return Since Inception
25,,"STR Holdings, Inc Common Stock",Domestic Equity,2022-12-26,-0.031627072092292416
26,iShares TIPS Bond ETF,iShares TIPS Bond ETF,,2011-04-01,-0.25380129043755906
27,Sensata Technologies Holding N.V. Ordinary Shares,Sensata Technologies Holding N.V. Ordinary Shares,International Equity,2007-07-03,-0.1972937631852773
28,,First Trust Materials AlphaDEX Fund,ETF,2009-12-18,-0.10030669123715519
29,,PowerShares KBW Capital Markets Portfolio,ETF,2010-11-19,-0.21891558977180572
30,First Trust North American Energy Infrastructure Fund,First Trust North American Energy Infrastructure Fund,ETF,,-0.15561790553927182
31,Bank Amer Corp Dep Sh Repstg 1/1000th Pfd Ser I,Bank Amer Corp Dep Sh Repstg 1/1000th Pfd Ser I,Domestic Equity,2003-06-17,0.04442418764623118
32,Direxion Daily Russia Bear 3x Shares,Direxion Daily Russia Bear 3x Shares,,2000-05-12,0.1163057749811546
33,"Goldman Sachs Group, Inc. (The) Depositary Share repstg 1/1000th Preferred Series B","Goldman Sachs Group, Inc. (The) Depositary Share repstg 1/1000th Preferred Series B",International Equity,2019-08-11,-0.0297435809293184
34,Nuveen Preferred and Income Term Fund Common Shares of Beneficial Interest,Nuveen Preferred and Income Term Fund Common Shares of Beneficial Interest,International Equity,2017-12-03,0.14625032473451993
35,"Douglas Dynamics, Inc. Common Stock","Douglas Dynamics, Inc. Common Stock",Domestic Equity,2010-12-06,0.01549805769412323
36,Kaman Corporation Common Stock,Kaman Corporation Common Stock,Domestic Equity,2005-02-27,0.11731976065120572
37,Regions Financial Corporation Common Stock,Regions Financial Corporation Common Stock,Domestic Equity,2016-05-14,0.04609629042473042
38,Deutsche X,Deutsche X-trackers MSCI Brazil Hedged Equity Fund,ETF,2021-09-21,0.14921539510691742
39,iPath S&P 500 VIX Mid,iPath S&P 500 VIX Mid-Term Futures ETN,Domestic Equity,2017-05-30,0.013078738230153753
40,Euro Stoxx 50 ETF,Euro Stoxx 50 ETF,ETF,2017-04-28,0.25356557655743867
41,BHP Billiton Limited Common Stock,BHP Billiton Limited Common Stock,International Equity,,-0.11513491737979467
42,Natural Resource Partners LP Limited Partnership,Natural Resource Partners LP Limited Partnership,Domestic Equity,2022-05-02,
43,"ING Group, N.V. Perp Hybrid Cap Secs (Netherlands)","ING Group, N.V. Perp Hybrid Cap Secs (Netherlands)",International Equity,2004-05-15,0.2100956675847506
44,SPDR Barclays 0,SPDR Barclays 0-5 Year TIPS ETF,ETF,2011-12-05,0.023777872297258647
45,First Trust Hong Kong AlphaDex,First Trust Hong Kong AlphaDex,ETF,2014-09-18,-0.28354018984020046
46,SPDR DJ Euro STOXX 50 Etf,SPDR DJ Euro STOXX 50 Etf,ETF,2006-02-14,0.031224011963383806
47,SPDR S&P Emerging Markets Dividend ETF,SPDR S&P Emerging Markets Dividend ETF,ETF,2021-03-06,0.0984927073925292
48,E,E-TRACS USB Bloomberg Commodity Index Exchange Traded Notes E-TRACS UBS Bloomberg CMCI Gold ETN,Domestic Equity,2020-03-01,-0.10990931753775435
49,BRT Realty Trust Common Stock,BRT Realty Trust Common Stock,International Equity,2005-05-09,0.01487433190159867
50,,Alliance New York Municipal Income Fund Inc,Domestic Equity,,-0.17276183195245826
51,Petroleo Brasileiro S.A.,Petroleo Brasileiro S.A.- Petrobras American Depositary Shares,Domestic Equity,2020-07-08,
52,,Alcoa Inc. Common Stock,,2002-11-18,0.11493675501034144
53,Nuveen Arizona Premium Income Municipal Fund Common Stock,Nuveen Arizona Premium Income Municipal Fund Common Stock,Domestic Equity,2017-09-20,0.37456865492308056
54,"InvenSense, Inc. Common Stock","InvenSense, Inc. Common Stock",Domestic Equity,2010-04-14,-0.3448522009185509
55,,Tesoro Logistics LP Common Units representing Limited Partner Interests,Domestic Equity,2007-01-21,-0.17605982242346735
56,,Kinross Gold Corporation Common Stock,Domestic Equity,2018-03-25,-0.2455721469780372
57,"Freescale Semiconductor, Ltd Common Shares","Freescale Semiconductor, Ltd Common Shares",Domestic Equity,2012-07-23,-0.0513992708151035
58,"Colony Financial, Inc Common Stock","Colony Financial, Inc Common Stock",Domestic Equity,2005-12-22,-0.024863085612372954
59,iShares iBonds Sep 2020 AMT,iShares iBonds Sep 2020 AMT-Free Muni Bond ETF,ETF,2017-12-28,-0.04778362261178866
60,Evogene Ltd Ordinary shares (Israel),Evogene Ltd Ordinary shares (Israel),Domestic Equity,2019-08-24,-0.024463506666426042
61,Schwab U.S. Small,Schwab U.S. Small-Cap ETF,ETF,2014-04-26,0.08240552671119472
62,RevenueShares ADR,RevenueShares ADR,ETF,2004-07-07,0.2835215321566845
63,Global X Super Dividend ETF,Global X Super Dividend ETF,,2004-01-25,0.17800555743087587
64,"Tableau Software, Inc. Class A Common Stock","Tableau Software, Inc. Class A Common Stock",Domestic Equity,2017-09-06,0.042351984375373936
65,Blackstone GSO Long Short Credit Income Fund Common Shares,Blackstone GSO Long Short Credit Income Fund Common Shares,Domestic Equity,2011-07-31,0.028024276091515976
66,Equity Commonwealth 5.75% Senior Notes due 2042,Equity Commonwealth 5.75% Senior Notes due 2042,Domestic Equity,2005-02-19,-0.2319171065595714
67,"WCI Communities, Inc. Common Stock","WCI Communities, Inc. Common Stock",Domestic Equity,2013-05-26,
68,Guggenheim S&P 500 Pure Growth ETF,Guggenheim S&P 500 Pure Growth ETF,ETF,2001-08-22,0.15108993269912593
69,SPDR S&P Dividend ETF,SPDR S&P Dividend ETF,ETF,2018-08-06,0.01714622567779351
70,First Trust Asia Pacific ex,First Trust Asia Pacific ex-Japan AlphaDEX Fund,ETF,2014-11-25,-0.038753912872972654
71,RELM Wireless Corporation Common Stock,RELM Wireless Corporation Common Stock,Domestic Equity,2007-11-30,0.1988457733605352
72,Scorpio Bulkers Inc. Common Stock,Scorpio Bulkers Inc. Common Stock,Domestic Equity,2011-11-19,-0.10330353956645508
73,WBI Large Cap Tactical Select Shares,WBI Large Cap Tactical Select Shares,ETF,2017-05-22,-0.013010489157929291
74,RMR Real Estate Income Fund Common Shares of Beneficial Interest,RMR Real Estate Income Fund Common Shares of Beneficial Interest,Domestic Equity,2007-10-11,-0.10431856764149476
75,iPath Bloomberg Aluminum Subindex Total Return SM IndexETN,iPath Bloomberg Aluminum Subindex Total Return SM IndexETN,Domestic Equity,,0.09285817247153709
76,PowerShares DB USD Index Bullish,PowerShares DB USD Index Bullish,ETF,2004-09-29,-0.07701833553058816
77,"Dupont Fabros Technology, Inc. Common Stock","Dupont Fabros Technology, Inc. Common Stock",International Equity,2010-11-28,
78,Protective Life Corporation Common Stock,Protective Life Corporation Common Stock,,2022-05-10,0.4227621243467958
79,FS Investment Corporation Common Stock,FS Investment Corporation Common Stock,Domestic Equity,2003-12-15,-0.10338384432860277
80,,MFC Industrial Ltd.,Domestic Equity,2005-10-03,
81,iShares MSCI China Small,iShares MSCI China Small-Cap ETF,ETF,2017-07-03,-0.08227673286413369
82,Deutsche Bank AG DB Gold Double Short ETN,Deutsche Bank AG DB Gold Double Short ETN,Domestic Equity,2013-10-27,-0.10339301744828147
83,Direxion Daily Total Market Bear 1X Shares,Direxion Daily Total Market Bear 1X Shares,ETF,2020-01-20,-0.06908363431403527
84,Western Asset Intermediate Muni Fund Inc Common Stock,Western Asset Intermediate Muni Fund Inc Common Stock,Domestic Equity,2019-03-04,-0.09192110411925866
85,,KNOT Offshore Partners LP Common Units representing Limited Partner Interests,International Equity,2020-06-23,0.06905123170992943
86,Synthetic Fixed,"Synthetic Fixed-Income Securities, Inc. Synthetic Fixed-Income Securities, Inc. on behalf of STRATS (SM) Trust for Dominion Resources, Inc. Securities, Series 2005-6, Floating Rate Structured Repackaged Asset-Backed Trust Securities (STRATS) Certificates",International Equity,2017-04-25,-0.2853040760232675
87,Rhino Resource Partners LP Common Units representing limited partnership interests,Rhino Resource Partners LP Common Units representing limited partnership interests,International Equity,2002-04-03,-0.10301092698599637
88,Global X China Industrials ETF,Global X China Industrials ETF,ETF,,-0.33578756941199245
89,iPath Short Enhanced MSCI Emerging Markets Index ETN,iPath Short Enhanced MSCI Emerging Markets Index ETN,Domestic Equity,2004-08-28,-0.25713955907069164
90,Direxion Daily 30,Direxion Daily 30-Yr Treasury Bear 3x Shrs,ETF,,-0.04784965782504085
91,Blackrock Municipal 2020 Term Trust,Blackrock Municipal 2020 Term Trust,Domestic Equity,2004-01-22,-0.3437098607766401
92,"Gulf Power Company Series 2011A 5.75% Senior Notes due June 1, 2051","Gulf Power Company Series 2011A 5.75% Senior Notes due June 1, 2051",International Equity,,-0.058049018114114524
93,,Eurasian Minerals Inc Common Shares (Canada),International Equity,2005-03-06,0.2693645190691694
94,iShares Russell Mid,iShares Russell Mid-cap Value ETF,ETF,2020-05-25,-0.380258630942312
95,American Eagle Energy Corporation.  Common Stock,American Eagle Energy Corporation.  Common Stock,International Equity,2012-04-29,0.013981026316306927
96,iShares MSCI New Zealand Capped ETF,iShares MSCI New Zealand Capped ETF,ETF,2014-12-09,-0.32837013589940767
97,PowerShares Fundamental Pure Small Core Portfolio,PowerShares Fundamental Pure Small Core Portfolio,ETF,2008-01-24,
98,Schwab U.S. Mid Cap ETF,Schwab U.S. Mid Cap ETF,ETF,2018-10-07,0.3086590020862185
99,,FIRST REPUBLIC BANK Depositary Shs Repstg 1/40th Perp Pfd Ser E Fixed To Fltg (RATE),Domestic Equity,,
100,Market Vectors Russia Small,Market Vectors Russia Small-Cap ETF,ETF,2002-11-11,-0.05418292682552851
101,Wells Fargo Advantage Income Opportunities Fund Common Shares,Wells Fargo Advantage Income Opportunities Fund Common Shares,Domestic Equity,2021-07-23,-0.1621215738390957
102,"Delta Apparel, Inc. Common Stock","Delta Apparel, Inc. Common Stock",Domestic Equity,2015-02-18,0.16282852796351147
103,Fly Leasing Limited,Fly Leasing Limited,International Equity,2012-03-01,-0.17086279447571576
104,Bank of America Corporation BAC Capital Trust VIII 6% Capital Securities,Bank of America Corporation BAC Capital Trust VIII 6% Capital Securities,International Equity,2017-02-07,-0.33470644011647266
105,First Trust Switzerland AlphaDex Fund,First Trust Switzerland AlphaDex Fund,ETF,2013-07-17,0.3703862950323974
106,Air Lease Corporation Class A Common Stock,Air Lease Corporation Class A Common Stock,Domestic Equity,2012-12-21,
107,UGI Corporation Common Stock,UGI Corporation Common Stock,International Equity,2023-04-20,0.12692999310203007
108,,PowerShares DB Base Metals Double Short ETN,International Equity,2020-09-01,-0.12148446819469039
109,Spansion Inc Common Stock Class A New,Spansion Inc Common Stock Class A New,Domestic Equity,2011-09-06,0.14694930815759794
110,"Mastech Holdings, Inc Common Stock","Mastech Holdings, Inc Common Stock",International Equity,2021-07-20,0.06822420530138894
111,Chesapeake Utilities Corporation Common Stock,Chesapeake Utilities Corporation Common Stock,International Equity,2006-06-03,0.16272587703219296
112,Alliancebernstein Global High Income Fund,Alliancebernstein Global High Income Fund,International Equity,2006-04-23,-0.12065287631363956
113,"Neuberger Berman Real Estate Securities Income Fund, Inc. Neuberger Berman Real Estate Securities Income Fund, Inc.","Neuberger Berman Real Estate Securities Income Fund, Inc. Neuberger Berman Real Estate Securities Income Fund, Inc.",,2011-07-16,0.18325355422565143
114,iShares Trust iShares Global REIT ETF,iShares Trust iShares Global REIT ETF,ETF,2009-07-06,0.07535046946147232
115,Market Vectors Emerging Markets High Yield Bond ETF,Market Vectors Emerging Markets High Yield Bond ETF,ETF,,-0.14819228882865526
116,,"Bancorp of New Jersey, Inc Common Stock",Domestic Equity,2021-08-06,-0.010811024516350323
117,Nevsun Resources Ltd Ordinary Shares,Nevsun Resources Ltd Ordinary Shares,International Equity,2009-12-08,0.058372143024813375
118,Travelport Worldwide Limited Common Shares,Travelport Worldwide Limited Common Shares,,2012-10-10,0.04716822177071619
119,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,Domestic Equity,2013-09-14,0.017168806247856373
120,Eagle Materials Inc Common Stock,Eagle Materials Inc Common Stock,,2010-04-16,0.3386022490644355
121,PowerShares DWA Industrials Momentum Portfolio,PowerShares DWA Industrials Momentum Portfolio,ETF,2011-12-03,0.05168342903644439
122,"CorEnergy Infrastructure Trust, Inc. Common Stock","CorEnergy Infrastructure Trust, Inc. Common Stock",Domestic Equity,2007-03-28,0.08111897111667286
123,"Cyan, Inc. Common Stock","Cyan, Inc. Common Stock",Domestic Equity,,-0.14454101674000874
124,Permian Basin Royalty Trust Common Stock,Permian Basin Royalty Trust Common Stock,International Equity,2007-12-31,-0.2480853918233398
125,E.I. du Pont de Nemours and Company Common Stock,E.I. du Pont de Nemours and Company Common Stock,International Equity,2020-08-23,0.2402690857996656
126,Prudential Financial Inflation,"Prudential Financial Inflation-Linked Retail Medium Linked Retail Medium-Term Notes due April 10, 2018",Domestic Equity,,-0.19462669749169054
127,"Asia Pacific Fund, Inc. (The)","Asia Pacific Fund, Inc. (The)",Domestic Equity,2017-10-23,0.21785079441180294
128,Aetna Inc. Common Stock,Aetna Inc. Common Stock,,2008-11-29,-0.057394330423177986
129,Regions Financial Corporation Depositary Shares Representing 1/40th Perpetual Preferred Series B,Regions Financial Corporation Depositary Shares Representing 1/40th Perpetual Preferred Series B,International Equity,2002-11-01,-0.034516727239078795
130,Valley National Bancorp Warrants Expiring 11/14/2018,Valley National Bancorp Warrants Expiring 11/14/2018,Domestic Equity,2013-08-04,
131,PowerShares Aerospace & Defense,PowerShares Aerospace & Defense,ETF,2017-06-20,-0.34225694159978576
132,"MFA Financial, Inc. 8.00% Senior Notes due 2042","MFA Financial, Inc. 8.00% Senior Notes due 2042",Domestic Equity,2022-08-12,0.2544607786165666
133,WisdomTree Japan SmallCap Fund,WisdomTree Japan SmallCap Fund,ETF,,-0.06801059885770629
134,"PCM Fund, Inc. Common Stock","PCM Fund, Inc. Common Stock",International Equity,,-0.05825388848626319
135,"Nuveen Pennsylvania Investment Quality Municipal Fund, Inc. Common Stock","Nuveen Pennsylvania Investment Quality Municipal Fund, Inc. Common Stock",International Equity,2013-10-29,-0.06936654796795884
136,"PowerShares DB 3X Short US Dollar Index Futures ETN due October 31, 2020","PowerShares DB 3X Short US Dollar Index Futures ETN due October 31, 2020",Domestic Equity,2017-02-24,
137,"Cohen & Steers Select Preferred and Income Fund, Inc. Common Stock","Cohen & Steers Select Preferred and Income Fund, Inc. Common Stock",International Equity,2012-11-30,0.16352329964341678
138,Advantage Oil & Gas Ltd  Ordinary Shares,Advantage Oil & Gas Ltd  Ordinary Shares,Domestic Equity,,-0.11248605298317178
139,,MEDIFAST INC Common Stock,Domestic Equity,2009-02-15,-0.04796014157671969
140,"Simpson Manufacturing Company, Inc. Common Stock","Simpson Manufacturing Company, Inc. Common Stock",Domestic Equity,2002-05-09,-0.03088213553645814
141,iPath Bloomberg Softs Subindex Total Return SM Index ETN,iPath Bloomberg Softs Subindex Total Return SM Index ETN,Domestic Equity,,
142,"Gray Communications Systems, Inc. Common Stock","Gray Communications Systems, Inc. Common Stock",International Equity,2022-12-30,0.2801614104819377
143,First Horizon National Corporation Common Stock,First Horizon National Corporation Common Stock,International Equity,2018-12-14,-0.222035559703709
144,WisdomTree Emerging Markets High,WisdomTree Emerging Markets High-Yielding Fund,ETF,2019-06-02,-0.06497223257162356
145,"Natural Gas Services Group, Inc. Common Stock","Natural Gas Services Group, Inc. Common Stock",,2021-11-25,-0.14748023860593934
146,FelCor Lodging Trust Incorporated Common Stock,FelCor Lodging Trust Incorporated Common Stock,Domestic Equity,2003-08-29,0.15490700060434964
147,iShares Short Maturity Bond ETF,iShares Short Maturity Bond ETF,ETF,,0.0748952216038105
148,Market Vectors Preferred Securities ex Financials ETF,Market Vectors Preferred Securities ex Financials ETF,ETF,2015-09-21,-0.1260452746663967
149,BlackRock Long,BlackRock Long-Term Municipal Advantage Trust BlackRock Long-Term Municipal Advantage Trust Common Shares of Beneficial Interest,International Equity,2015-08-18,-0.06127473898687221
150,PIMCO Low Duration Active Exchange,PIMCO Low Duration Active Exchange-Traded Fund,ETF,2021-03-11,0.42697871624070693
151,Petroquest Energy Inc Common Stock,Petroquest Energy Inc Common Stock,International Equity,2015-12-11,0.2001810434647077
152,,Exelis Inc. Common Stock New,Domestic Equity,2008-08-08,-0.3934930808524509
153,"British American Tobacco  Industries, p.l.c. Common Stock ADR","British American Tobacco  Industries, p.l.c. Common Stock ADR",Domestic Equity,2019-12-05,-0.35399033340053077
154,BlackRock Pennsylvania Strategic Municipal Trust (The) Common Shares of Beneficial Interest,BlackRock Pennsylvania Strategic Municipal Trust (The) Common Shares of Beneficial Interest,Domestic Equity,2020-04-14,0.13810653570563863
155,Navigator Holdings Ltd. Ordinary Shares (Marshall Islands),Navigator Holdings Ltd. Ordinary Shares (Marshall Islands),International Equity,2021-06-29,-0.23053034439478948
156,RCS CAPITAL CORPORATION Common Stock,RCS CAPITAL CORPORATION Common Stock,International Equity,2000-02-19,0.10696227864779717
157,Gabelli Healthcare PFD SER A,Gabelli Healthcare PFD SER A,Domestic Equity,2000-11-06,-0.09585073876144745
158,"Country Style Cooking Restaurant Chain Co., Ltd American Depositary Shares, each representing four ordinary shares","Country Style Cooking Restaurant Chain Co., Ltd American Depositary Shares, each representing four ordinary shares",Domestic Equity,2001-09-11,-0.0935623275763667
159,"RENN Fund, Inc Common Stock","RENN Fund, Inc Common Stock",International Equity,2009-06-01,-0.3207601135317578
160,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock","Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",,,
161,Market Vectors Intermediate Municipal Index ETF,Market Vectors Intermediate Municipal Index ETF,ETF,2017-07-19,-0.22988680000546796
162,IDT Corporation Class B Common Stock,IDT Corporation Class B Common Stock,International Equity,2018-03-24,-0.06019079326664578
163,"Vishay Precision Group, Inc. Common Stock","Vishay Precision Group, Inc. Common Stock",International Equity,2005-04-04,-0.16282397954679148
164,,Direxion Daily 7 10 Year Treasury Bear 1X Shares,,2002-12-26,0.2840636220162325
165,iPath Pure Beta Livestock ETN,iPath Pure Beta Livestock ETN,Domestic Equity,2008-05-08,0.1388790581721732
166,National HealthCare Corporation Series A Convertible Pfd Stk,National HealthCare Corporation Series A Convertible Pfd Stk,International Equity,2013-09-28,0.10933954130978593
167,,AllianceBernstein National Municipal Income Fund Inc,International Equity,2007-01-11,0.5461977598737899
168,Tribune Publishing Company Common Stock,Tribune Publishing Company Common Stock,Domestic Equity,2002-11-11,-0.29849109619911895
169,ProShares Global Listed Private Equity ETF,ProShares Global Listed Private Equity ETF,,2020-11-14,-0.030764479042777515
170,"Journal Communications, Inc. Class A Common Stock","Journal Communications, Inc. Class A Common Stock",International Equity,2020-08-17,0.13293658062543773
171,Vanguard Intermediate,Vanguard Intermediate-Term Bond ETF,ETF,2021-10-15,0.27638379470915403
172,Nuveen California Dividend Advantage Municipal Fund 2 Share of Beneficial Interest,Nuveen California Dividend Advantage Municipal Fund 2 Share of Beneficial Interest,,2020-05-21,0.0756791383134407
173,,PowerShares Dynamic LargeCap Value,ETF,2010-11-15,-0.14389265039810664
174,"Entergy Louisiana, Inc. First Mortgage Bonds, 5.25% Series due July 1, 2052","Entergy Louisiana, Inc. First Mortgage Bonds, 5.25% Series due July 1, 2052",,2012-10-19,0.10975005233344914
175,Dun & Bradstreet Corporation (The) Common Stock,Dun & Bradstreet Corporation (The) Common Stock,Domestic Equity,2005-10-02,-0.032254571784085306
176,AZZ Incorporated Common Stock,AZZ Incorporated Common Stock,Domestic Equity,2011-11-24,-0.1282013693158091
177,"Waste Management, Inc. Common Stock","Waste Management, Inc. Common Stock",Domestic Equity,,-0.3003251007639844
178,E,E-TRACS USB Bloomberg Commodity Index Exchange Traded Notes E-TRACS UBS Bloomberg CMCI Energy ETN,Domestic Equity,,-0.07355812035263522
179,Hersha Hospitality Trust 6.875% Series C Cumulative Redeemable Preferred Shares of Beneficial Interest,Hersha Hospitality Trust 6.875% Series C Cumulative Redeemable Preferred Shares of Beneficial Interest,Domestic Equity,2011-03-25,0.2653271041716163
180,Wisconsin Energy Corporation Common Stock,Wisconsin Energy Corporation Common Stock,International Equity,2019-02-12,0.22288107955631037
181,SPDR Barclays TIPS ETF,SPDR Barclays TIPS ETF,,2021-11-26,0.18420821105578417
182,Associated Banc,Associated Banc-Corp Depositary Sh Repstg 1/40th Int Sh Perpetual Pfd Stk Ser B,International Equity,2003-01-17,0.018011217757686947
183,"Family Dollar Stores, Inc. Common Stock","Family Dollar Stores, Inc. Common Stock",International Equity,2001-07-02,-0.04451465186793762
184,,Aluminum Corporation of China Limited American Depositary Shares,International Equity,2009-06-17,0.018446075282660894
185,Frontline Ltd. Ordinary Shares,Frontline Ltd. Ordinary Shares,International Equity,2008-03-17,
186,"TAL Education Group American Depositary Shares, each representing 2 Class A common shares","TAL Education Group American Depositary Shares, each representing 2 Class A common shares",,2006-03-19,
187,,"Shell Midstream Partners, L.P. Common Units representing Limited Partner Interests",Domestic Equity,2012-10-08,0.1953866256492748
188,PowerShares S&P 500 High Dividend Portfolio,PowerShares S&P 500 High Dividend Portfolio,ETF,2005-12-30,0.1927234405408592
189,Diana Shipping inc. common stock,Diana Shipping inc. common stock,International Equity,2010-05-28,-0.14571243748718052
190,"National Oilwell Varco, Inc. Common Stock","National Oilwell Varco, Inc. Common Stock",Domestic Equity,2004-08-23,-0.0012747951763734035
191,ProShares UltraShort MSCI Mexico Capped IMI,ProShares UltraShort MSCI Mexico Capped IMI,ETF,2004-10-15,0.03429483438224242
192,"Radiant Logistics, Inc. Common Stock","Radiant Logistics, Inc. Common Stock",International Equity,2000-01-07,0.26667791245963235
193,,Astoria Financial Corporation Depositary Shs Repstg 1/40th Int Perp Pfd Ser C 6.5%,International Equity,2007-10-02,-0.1530221808575853
194,"Tri Pointe Homes, Inc. Common Stock","Tri Pointe Homes, Inc. Common Stock",Domestic Equity,2000-09-29,-0.17782567716375927
195,Sonoco Products Company Common Stock,Sonoco Products Company Common Stock,,2014-03-27,-0.034829176854401955
196,Portland General Electric Co Common Stock,Portland General Electric Co Common Stock,Domestic Equity,2011-08-09,0.18259817113244592
197,Kennametal Inc. Common Stock,Kennametal Inc. Common Stock,Domestic Equity,2003-01-12,0.08425425547567376
198,Ally Financial Inc. Common Stock,Ally Financial Inc. Common Stock,International Equity,2011-11-27,0.010483081186697307
199,,National HealthCare Corporation Common Stock,International Equity,,-0.11796455313312867
200,Dover Corporation Common Stock,Dover Corporation Common Stock,International Equity,2013-12-26,0.08457399376269793
201,Global X SuperIncome Preferred ETF,Global X SuperIncome Preferred ETF,ETF,2016-04-29,-0.11106978435718198
202,Synthetic Fixed,Synthetic Fixed-Income Securities Inc 6.375% (STRATS) Cl A-1,International Equity,2021-07-30,-0.13283500037639476
203,ProShares USD Covered Bond,ProShares USD Covered Bond,ETF,2020-01-14,0.3318595976806707
204,Acme United Corporation. Common Stock,Acme United Corporation. Common Stock,Domestic Equity,2017-08-03,-0.3181063766093243
205,"John Wiley & Sons, Inc. Common Stock","John Wiley & Sons, Inc. Common Stock",International Equity,2018-04-09,-0.3567966468621352
206,Western Asset Mortgage Capital Corporation Common Stock,Western Asset Mortgage Capital Corporation Common Stock,International Equity,2010-05-30,0.018423865217371205
207,American States Water Company Common Stock,American States Water Company Common Stock,International Equity,,-0.2730234805150729
208,iShares iBonds Sep 2018 AMT,iShares iBonds Sep 2018 AMT-Free Bond Term,ETF,2005-08-23,-0.13766452235871385
209,"Mavenir Systems, Inc. Common Stock","Mavenir Systems, Inc. Common Stock",Domestic Equity,,-0.5260160883515195
210,Crane Company Common Stock,Crane Company Common Stock,International Equity,2019-11-20,-0.311679547056563
211,Great Northern Iron Ore Properties Common Stock,Great Northern Iron Ore Properties Common Stock,Domestic Equity,2008-12-18,-0.05985225466743904
212,"Targa Resources, Inc. Common Stock","Targa Resources, Inc. Common Stock",Domestic Equity,2022-01-05,-0.05190626923389948
213,RevenueShares Financials Sector,RevenueShares Financials Sector,ETF,2011-10-06,-0.7881889972053389
214,Western Asset Global High Income Fund Inc Common Stock,Western Asset Global High Income Fund Inc Common Stock,Domestic Equity,2016-05-09,0.2540624026216609
215,Glatfelter Common Stock,Glatfelter Common Stock,Domestic Equity,2007-01-09,
216,MBIA Inc. Common Stock,MBIA Inc. Common Stock,Domestic Equity,2016-08-29,-0.20241063877435544
217,Citigroup Inc. Depositary Share representing 1/1000 interest in a share of noncumulative series L,Citigroup Inc. Depositary Share representing 1/1000 interest in a share of noncumulative series L,,2022-07-17,0.21598428476166495
218,Putnam Master Intermediate Income Trust Common Stock,Putnam Master Intermediate Income Trust Common Stock,Domestic Equity,2019-07-06,-0.14458356880342918
219,,PowerShares Dynamic Food & Beverage,ETF,2006-12-11,0.11773328327569835
