RequestId,Symbol,QUEUESIP,MIC
277,PID,,XTSE
278,ENZ,0x176f46,XNAS
279,,0x1776f6,XSAU
280,HYG,0x1778c5,XFRA
281,,0x177cba,XNYS
282,HGI,,XTSE
283,PSApO,0x178d0d,XNYS
284,,0x1792f0,XNYS
285,NPTN,0x17966a,XAMS
286,GVP,0x179c0c,XNYS
287,PWC,0x179f8,XNYS
288,,0x17a6d5,XNYS
289,TW,0x17a70e,XNYS
290,,0x17a956,XNYS
291,AU,,XBOM
292,AVA,0x17ac4a,XNYS
293,HOV,,XJPX
294,,0x17be18,XFRA
295,HIX,0x17c58b,XJPX
296,THGA,0x17dbf9,XNAS
297,,0x17f6,XNAS
298,,0x17f6c3,XNYS
299,MTX,0x180353,XSHE
300,FEP,0x1803ad,XLON
301,SEM,0x18085d,XHKG
302,VIV,0x180ac5,XTSE
303,PT,0x180c7b,XNYS
304,,0x18155,XSWX
305,WBS/WS,0x1818c3,XJPX
306,BRC,0x181fe3,XNYS
307,AGU,0x182189,XSHG
308,,0x182314,XNYS
309,HYMB,0x182391,XNYS
310,CTV,0x183294,XNAS
311,,0x183b92,XNYS
312,HFIN,0x184545,XFRA
313,IGC,0x1845b7,XNYS
314,AMZA,0x184c6a,XAMS
315,,0x185a56,XNYS
316,,0x185ed6,XSHE
317,,0x186f4f,XNYS
318,SCJ,0x186fa5,XNAS
319,BC,0x1870b9,XSWX
320,,0x1876a3,XNAS
321,GBF,0x187c79,XJSE
322,SRT,0x187d24,XTSE
323,,0x188189,XTSE
324,ONE,0x1884f1,XNAS
325,CHSP,,XTSE
326,VYM,0x18941b,XLON
327,,0x189e6c,XASX
328,PZE,0x18a0f5,XSAU
329,,0x18a182,XNYS
330,SIR,0x18ab1b,XNAS
331,CVR,,XNYS
332,NJV,0x18bbdc,XNYS
333,BKE,,XNAS
334,MKL,0x18d6a7,XNYS
335,GSF,0x18d87d,XNYS
336,,0x18d9cd,XTAI
337,FNB,,XNYS
338,EMN,0x18f5a8,XNAS
339,DF,0x18f7f0,XNYS
340,,0x18ff2c,XNYS
341,NZH,0x18ffec,XNAS
342,OSGB,0x190114,XNAS
343,,0x190176,XNAS
344,RQI,0x1911e3,XNYS
345,WMCR,0x191b22,XTSE
346,SAH,0x191c18,XNYS
347,,0x192407,XNYS
348,BRO,0x192dcf,XNAS
349,IDG,0x1939d8,XFRA
350,CAG,,XNYS
351,JPX,0x19455f,XNAS
352,AG,0x19576e,XTSE
353,BKF,0x195ff6,XBOM
354,WF,0x1964fe,XNAS
355,AAMC,0x196a8a,XNSE
356,RDN,0x197b46,XASX
357,RHI,0x198cad,XTSE
358,SZK,0x19973d,XAMS
359,EROS,,XSHG
360,SAR,,XNYS
361,GGNpB,0x19a23d,XSHG
362,DIN,0x19a42c,XTAI
363,GEK,0x19a5d0,XHKG
364,ELD,,XNYS
365,,0x19ac49,XNYS
366,FCG,,XNYS
367,,0x19bfeb,XTAI
368,ZPIN,0x19c9ac,XTSE
369,,0x19d8f4,XSHG
370,,0x19de7e,XNYS
371,,0x19df7f,XNAS
372,,0x19e5e7,XNYS
373,IRET,0x19f1fe,XNYS
374,,0x19f212,XNYS
375,,0x19f23d,XNYS
376,ENRJ,0x1a0477,XAMS
377,SBpB,,XSAU
378,XLY,0x1a11c3,XSHE
379,,0x1a16ce,XNAS
380,XVIX,0x1a1bf1,BVMF
381,UVXY,0x1a26e7,XNSE
382,LNC/WS,,XNYS
383,CTP,0x1a2e82,XSHG
384,BXPpB,0x1a3030,BVMF
385,,0x1a3137,XNYS
386,BBN,0x1a31ef,XNYS
387,,0x1a4bd6,XNYS
388,ARL,0x1a4dba,XNYS
389,EOG,0x1a6874,XNYS
390,,0x1a6e21,XNYS
391,,0x1a7474,XNAS
392,CEE,0x1a753b,XNAS
393,,0x1a77b8,XNAS
394,,0x1a7bde,XSHE
395,QRM,0x1a82a1,XNYS
396,,0x1a8e32,XNAS
397,YELP,0x1abd1d,XHKG
398,WBK,,XNYS
399,,0x1ad2d2,XNAS
400,IIM,,XNAS
401,,0x1ae5d0,XNYS
402,,0x1ae658,XTSE
403,KMI,0x1ae902,XASX
404,,0x1aefc2,XNAS
405,REGpF,0x1af0c5,XBOM
406,,0x1b2099,XNYS
407,CIM,0x1b258e,XHKG
408,,0x1b2c3c,XNYS
409,,0x1b2e89,XNAS
410,STZ,0x1b30fe,XNSE
411,AKP,0x1b3135,XNYS
412,,0x1b3f56,XHKG
413,IWO,,XTSE
414,PHDG,0x1b617e,XNAS
415,,0x1b66c,XNAS
416,,0x1b6a2d,XNYS
417,,0x1b77c4,XSHE
418,IPS,0x1b78ac,XNAS
419,MUX,,XNYS
420,FXG,,XNYS
421,,0x1ba279,XNAS
422,EZA,,XNYS
423,DHX,0x1ba5fb,XNYS
424,WLL,0x1ba6b7,XNAS
425,BFY,0x1babe9,XNAS
426,,0x1bae5a,XNYS
427,GZT,0x1bb114,XAMS
428,,0x1bba44,XNYS
429,VALE/P,0x1be172,XNYS
430,EWJ,0x1bf3d2,XNYS
431,PMX,0x1bf5d7,XTSE
432,GXPpA,0x1bf7b5,XNYS
433,,0x1bfd39,XNYS
434,,0x1bfe2a,XNYS
435,HRC,0x1c0e32,XNAS
436,,0x1c1d9b,XNYS
437,GDV,0x1c2131,XNYS
438,ULE,,XLON
439,,0x1c3557,XNAS
440,RGRA,0x1c42b2,XJPX
441,,0x1c4a0d,XBOM
442,WTR,0x1c4cdd,XNYS
443,PTY,0x1c4eb9,XBOM
444,AAp,0x1c65ee,XNAS
445,URR,,XNAS
446,,0x1c6e3e,XTSE
447,CCJ,0x1c74af,XTSE
448,USBpN,0x1c7a86,XHKG
449,NYRT,0x1c8595,XNYS
450,LM,0x1c8869,XNAS
451,,0x1c95bc,XNAS
452,AXLL,0x1c9762,XNYS
453,,0x1cad17,XNYS
454,NUE,0x1cb0b1,XSWX
455,,0x1cb528,XTSE
456,O,,XHKG
457,BOS,0x1cc7ca,XNYS
458,GML,0x1ccc29,XTSE
459,SLW,0x1cd3bc,XNAS
460,,0x1cd63e,XNYS
461,PNF,0x1cd936,XNAS
462,NGVC,0x1ce1a2,XASX
463,AFQ,0x1ce1a3,XNYS
464,,0x1ce7b8,XASX
465,NPN,0x1ce9aa,XNYS
466,CIX,,XNYS
467,WGL,0x1cf639,XNYS
468,SPHB,0x1cfa21,XBOM
469,BSV,0x1d044a,XNAS
470,ARHpC,0x1d0b8e,XNYS
471,,0x1d0f8f,XNYS
472,DDF,0x1d383,XNYS
473,TYD,0x1d3e73,XNYS
474,,0x1d416e,XNYS
475,AEL,0x1d42db,XNYS
476,,0x1d4d99,XNYS
477,IJK,0x1d5155,XNYS
478,ANF,0x1d5203,XNAS
479,PMF,0x1d56e2,XNYS
480,,0x1d6137,XNYS
481,RHT,0x1d6a38,XSHG
482,EMBB,0x1d7128,XNAS
483,,0x1d7196,XTSE
484,LHOpI,,XNAS
485,BSCL,0x1d90f9,XNYS
486,C,0x1d93d3,XNYS
487,GNE,0x1db2ab,XNYS
488,,0x1db74b,XNYS
489,,0x1dbe41,XJSE
490,RBSpH,0x1dc98e,XNAS
491,,0x1dda60,XNYS
492,,0x1de47f,XNAS
493,BFO,,XNYS
494,MSO,0x1dfef1,XSAU
495,EXAM,0x1e04fe,XNYS
496,TC,0x1e0d8b,XNAS
497,,0x1e1619,XTSE
498,CB,0x1e16b8,XNYS
499,LEU,0x1e16fa,XNAS
500,,0x1e25df,XTAI
501,CUPM,0x1e2975,XLON
502,CVM,0x1e2b72,XJPX
503,VIXY,0x1e418d,XNAS
504,BAR,0x1e5096,XNAS
505,YUMA,0x1e5344,XNYS
506,PXMV,0x1e5362,XNYS
507,GSH,0x1e5432,XKOS
508,GLDX,0x1e5518,XTSE
509,GRXpB,,XNYS
510,APD,0x1e5ff9,XNYS
511,AVH,0x1e6070,XSWX
512,,0x1e6ad4,XJPX
513,RNRpC,0x1e791e,XFRA
514,,0x1e7d06,XNYS
515,PPSpA,0x1e81b4,XNYS
516,,0x1e871f,XNYS
517,ACM,0x1e8879,XNYS
518,SPG,0x1e9835,XNSE
519,AUO,0x1e98b3,XNYS
520,OPWR,,XNYS
521,AWX,0x1ec159,XNAS
522,MYM,0x1ec9bb,XNYS
523,HRS,0x1ecb6b,XNYS
524,DTD,0x1ecf24,XNYS
525,FXO,0x1ed0cb,XNYS
526,TTM,0x1ed3d3,XNYS
527,NAO,0x1ed6f5,XNYS
528,PBYI,0x1ed710,XNYS
529,PIO,0x1ed8b0,XJPX
530,PAYC,0x1ed9bb,XNYS
531,EWAS,0x1edcbe,XKOS
532,ALTS,0x1ede53,XNAS
533,,0x1ee1c0,XSHG
534,,0x1eeb50,XNYS
535,BGSF,0x1eec0,XNAS
536,EMFM,0x1ef086,XNYS
537,NBL,,XNYS
538,STC,0x1effae,XNYS
539,IDHB,0x1f0190,BVMF
540,VALE,0x1f38be,XNYS
541,EXPR,,XNYS
542,BCV,0x1f3c5b,XTSE
543,NVS,0x1f3df0,XNYS
544,SRI,0x1f40c9,XNYS
545,,0x1f4fce,XLON
546,NEN,0x1f520c,XNYS
547,VR,0x1f540e,XNYS
548,,0x1f6197,XASX
549,MMS,0x1f62e5,XNYS
550,,0x1f6383,XLON
551,DDT,0x1f6523,XNAS
552,SWFT,0x1f74a3,XNYS
553,EPMpA,0x1f7a86,XNAS
554,XES,0x1f7c18,XNAS
555,,0x1f7c61,XTSE
556,DXR,0x1f84c0,XTSE
557,MHOpA,0x1f8919,XNYS
558,WBIB,,XNSE
559,AZO,0x1f9d98,XNYS
560,NINI,0x1fa07b,XNAS
561,,0x1fa7cf,XNAS
562,WBAI,0x1fa914,XNYS
563,DSUM,0x1fb78f,XLON
564,UTL,0x1fbc04,XNAS
565,DBAP,0x1fcd88,XSHE
566,DBA,0x1fcd9f,XSWX
567,SLG,0x1fcfe1,XNAS
568,BAX,0x1fd423,XNAS
569,,0x1fe071,XSHE
570,FTEC,0x1fe7a8,XLON
571,SGU,0x1fe839,XJPX
572,IQDF,0x1ff867,XNYS
573,,0x1ffd11,XNAS
574,SEB,,XASX
575,,0x200ddf,XNAS
576,KFYP,0x20239d,XFRA
577,ECR,0x20241b,XNYS
578,HECO,0x202ebe,XNAS
579,EWW,0x20365c,XNYS
580,HUB/B,0x2038,XNYS
581,XLP,0x203ef7,XSWX
582,WPT,,XNYS
583,ARE,0x204f5a,XNYS
584,,0x205372,XNYS
585,AMJ,0x205429,XTSE
586,FEO,0x205480,XNYS
587,TFX,0x206067,XTAI
588,,0x206ec1,XNSE
589,,0x20766c,XTAI
590,CPN,,XNAS
591,WWE,0x2088c2,XNYS
592,AMHpA,0x2090b5,XNAS
593,,0x20ae5a,XNYS
594,,0x20b2cc,XNAS
595,UDN,0x20b38a,XNAS
596,BXE,0x20bc47,XNYS
597,,0x20be54,XNYS
598,,0x20c49a,XTSE
599,UN,,XNAS
600,BKH,0x20cdc2,XTSE
601,,0x20ce26,XSHE
602,UPS,,XNYS
603,MYCC,0x20e05e,XNYS
604,AWP,0x20e23a,XNAS
605,JSC,,XNYS
606,COL,0x20f2c5,XAMS
607,MORT,0x20fdb6,XNYS
608,,0x2102aa,XNYS
609,IQDY,0x210526,XJSE
610,PEI,0x210da1,XNSE
611,WBII,0x211f0d,XTSE
612,BXMT,0x2121fd,XBOM
613,ELU,0x212e94,BVMF
614,MSI,0x2131f5,XASX
615,,0x213231,XNAS
616,,0x2137e,XNYS
617,UBM,0x214b2a,XTSE
618,IWD,0x2156f8,XASX
619,,0x215b37,XNAS
620,TKR,0x215bce,XNYS
621,NQM,0x215de,XNYS
622,,0x217464,XNAS
623,,0x218743,XNYS
624,RWXL,0x218e5c,XNAS
625,UBR,0x21a300,XTSE
626,ALLpF,0x21a75d,XNAS
627,BSCI,0x21b60,XTAI
628,SDD,,XNYS
629,TAP/A,,XSHE
630,KEYS,,XTAI
631,TXT,0x21c944,XSWX
632,,0x21caaf,XNYS
633,NCI,0x21da6f,XNAS
634,,0x21dc02,XNAS
635,RGRC,0x21e1a4,XNYS
636,ISH,0x21e457,XNYS
637,HSC,0x21e7dd,XTSE
638,RBSpQ,0x21ef62,XNYS
639,BTO,,XNYS
640,,0x21f0c4,XNAS
641,VBF,0x2225d9,XASX
642,FBHS,0x223264,XNAS
643,,0x22365e,XNYS
644,,0x223684,XNYS
645,APO,0x2237b8,XNSE
646,TMUS,0x223832,XLON
647,BH,,XNAS
648,PCGpH,,XNYS
649,PHK,0x225af3,XNYS
650,,0x226170,XNAS
651,GIG,0x22626a,XNYS
652,CYSpB,0x2263b5,XTSE
653,EQS,0x226ef1,XTSE
654,,0x22738a,XNYS
655,,0x227a01,XNYS
656,MMM,0x227c26,XNAS
657,KAR,0x228511,XNYS
658,ETO,0x2286ad,XTSE
659,WIA,0x228709,XTSE
660,BZC,0x2297b7,XNYS
661,,0x229b8c,XNAS
662,,0x229c21,XNYS
663,,0x229c6b,XNYS
664,BKD,0x22a384,XNYS
665,,0x22acc6,XNYS
666,TDH,,XNAS
667,,0x22b51d,XNYS
668,,0x22c52e,XSHE
669,THS,0x22cbf9,XNYS
670,ANV,0x22eabf,XNYS
671,AGC,0x2301b3,XTSE
672,XRX,0x230c08,XNYS
673,AGG,,XNAS
674,,0x230d6,XNYS
675,GDVpA,0x23129f,XNYS
676,FBG,,XTAI
677,GAF,0x231d19,XNYS
678,ESV,0x232060,XNYS
679,EES,,XNYS
680,KYNpG,0x2333fb,XNAS
681,,0x2338f1,XNAS
682,,0x233e6a,XSAU
683,,0x23454f,XNAS
684,,0x2345ca,XNAS
685,CHMT,0x234734,XTSE
686,MEN,0x23487b,XAMS
687,BRAF,,XNYS
688,KRO,0x23715,XNAS
689,EUDG,0x23737e,XNYS
690,,0x238267,XNAS
691,BDR,0x23838e,XTAI
692,EAE,0x238d9d,XNAS
693,,0x239288,XNAS
694,RGRE,0x239c4c,XLON
695,CII,0x239c8,XTSE
696,ITB,0x239cc8,XNYS
697,GVI,0x23a868,XNYS
698,,0x23b6e3,XTSE
699,QAI,0x23b81,XTSE
700,SQM,0x23b90b,XSWX
701,,0x23bd8,XNYS
702,,0x23be19,XNYS
703,ELA,0x23ccf,XNSE
704,,0x23d227,XNYS
705,,0x23e,XNAS
706,MRGR,0x23ec48,XASX
707,GMM,0x23f6f2,XASX
708,HOG,0x23f988,XNYS
709,MM,0x23feb6,XNYS
710,CHKpD,0x240891,XNYS
711,INB,0x2409e7,XNAS
712,ESRT,0x2415d5,XNYS
713,,0x241987,XNYS
714,PNI,0x241c41,XNAS
715,,0x2426f1,XNYS
716,BGS,0x242925,XNYS
717,,0x24390b,XTSE
718,EEP,,XNYS
719,AAT,0x244901,XNYS
720,PAG,0x245c40,XNAS
721,COFpP,,XKOS
722,,0x246091,XNYS
723,,0x246503,XNYS
724,,0x2465ba,XNYS
725,,0x246a99,XNYS
726,AIW,0x2471f8,XNAS
727,OGS,0x2476e2,XJSE
728,FEMS,,XNAS
729,SMB,0x2494ed,XNYS
730,CALX,0x249aad,XNYS
731,,0x249dcb,XJSE
732,,0x24a17a,XASX
733,HIE,,XNYS
734,,0x24ae3a,XNYS
735,,0x24af1e,XNYS
736,,0x24af1f,XSWX
737,,0x24b086,XNYS
738,CUB,0x24b683,XNYS
739,ASHS,0x24bea,XNAS
740,BCM,0x24c7b0,XSAU
741,,0x24c897,XTSE
742,DX,0x24d603,XNYS
743,,0x24d8e7,XNYS
744,,0x24ecfa,XNYS
745,VGI,0x24edff,XJPX
746,TDC,0x24fddf,XTSE
747,GSL,0x2504f8,XNAS
748,NVR,0x2505a,XNYS
749,PYS,0x25067c,XNYS
750,PLpE,0x250a54,XNYS
751,AT,0x250a6e,XFRA
752,AGX,0x2517da,XNAS
753,UGA,0x25186,XNYS
754,,0x251d6a,XTSE
755,SKH,0x252143,XNAS
756,,0x252e18,XNYS
757,,0x253038,XNYS
758,RDIV,0x25309d,XBOM
759,JHS,0x253317,XNYS
760,SBM,0x2537f,XNAS
761,,0x253899,XNAS
762,,0x2543ac,XNAS
763,,0x255170,XNSE
764,,0x2554c5,XASX
765,TOWR,,XFRA
766,,0x255cb4,XTSE
767,TAC,0x255f5a,XNYS
768,OCN,0x256401,XNAS
769,,0x256c8b,XTSE
770,,0x2570e,XNYS
771,APU,,XTAI
772,CLF,0x258e41,XASX
773,PEBpB,0x258fcc,XNYS
774,ERUS,0x2593,XNYS
775,,0x2595a9,XNAS
776,,0x259b42,XHKG
777,,0x259e31,XNAS
778,,0x25a0c0,XJSE
779,SMLV,0x25ab94,XNAS
780,JGW,0x25b1fd,XKOS
781,HHY,0x25b9d5,XNYS
782,,0x25c284,XNYS
783,,0x25d26a,XNYS
784,DXB,0x25d8eb,XNYS
785,CVA,0x25dde4,BVMF
786,DDRpJ,,XNYS
787,EFG,0x25f553,XFRA
788,LGLV,0x25f5fc,XTSE
789,,0x25fd04,XJSE
790,ECC,0x26004b,XNSE
791,IPOS,0x260769,XNYS
792,PEBpC,,XNYS
793,UMX,0x262e2b,XSAU
794,CYNpD,0x263667,XTAI
795,WFCpR,0x2640d1,XNYS
796,IPO,0x264222,XTSE
797,BAK,0x264284,XSHE
798,,0x26464,XNYS
799,,0x264e95,XNYS
800,PSApQ,0x264f7,XNYS
801,,0x2651d1,XSWX
802,RPAI,0x2651e1,XBOM
803,ZSL,0x26578f,XNYS
804,,0x265e3a,XNAS
805,,0x26658d,XNYS
806,EPM,,XNSE
807,VII,0x2668f1,XNYS
808,,0x266c36,XHKG
809,ACIM,0x266e73,XNYS
810,FNDF,0x2670be,XNAS
811,TMHC,0x2677f6,XJSE
812,,0x267a1d,XNAS
813,MFL,0x2685cd,XAMS
814,,0x268bf8,XNYS
815,,0x269e92,XNYS
816,RTN,,XNSE
817,RPV,0x26a7a8,XNYS
818,,0x26bc7c,XSAU
819,AUNZ,0x26c3de,XNAS
820,NCV,0x26cf4,XTSE
821,WAB,0x26e602,XTSE
822,RFI,0x26ea3d,XTAI
823,NPM,0x26f475,XNYS
824,,0x26f50e,XNYS
825,,0x26fbac,XNYS
826,MSF,0x26fd87,XAMS
827,IPAC,0x271008,XNYS
828,,0x271733,XSHG
829,,0x2718a7,XJPX
830,ARIpA,0x2725b4,XTSE
831,GRT,0x272d59,XNYS
832,CMOpE,0x27501e,XNAS
833,UGE,0x275b3e,XNYS
834,AGOpB,0x275c8f,XSAU
835,,0x275d8b,XNYS
836,LRN,0x277122,XNYS
837,HBI,,XNYS
838,,0x277b0e,XNAS
839,EFC,0x2780e6,XSAU
840,SHW,0x27868f,XKOS
841,IBMD,0x278861,XLON
842,RAS,0x278f3e,XNYS
843,IBP,0x279fcb,XFRA
844,RASpB,0x27a403,XNYS
845,,0x27b5e4,XTAI
846,IBDB,0x27b969,XTAI
847,HQH,0x27ce6b,XBOM
